$$CriteriaField$Operator$Value$Type$RecordsetFilterCriteria.Name$RecordsetFilterCriteria.SourceObject$RecordsetFilterCriteria.FilteredObject$RecordsetFilterCriteria.IsActive,CriteriaField,FirstOccurrence,Frequency,Id,Index,LastOccurrence,NextOccurrenceField,Operator,RecordsetFilterCriteria.$$Name$SourceObject$FilteredObject$IsActive,RecordsetFilterCriteriaId,RecordsetFilterCriteriaRuleNumber,Type,UsageRateField,UsageRateUnit,Value
ServiceAppointment.FS_MaintenanceDesignation__c;Equals;true;Criteria;Maintenance Designated Time;Shift;ServiceAppointment;true,ServiceAppointment.FS_MaintenanceDesignation__c,,,0hKDF000000KyjL2AS,1,,,Equals,Maintenance Designated Time;Shift;ServiceAppointment;true,0hrDF000000KyjLYAS,RFCR-0001,Criteria,,Day,true
ServiceAppointment.FS_OpenOrderDesignation__c;Equals;true;Criteria;OpenOrder Designated time;Shift;ServiceAppointment;true,ServiceAppointment.FS_OpenOrderDesignation__c,,,0hKDF000000KyjM2AS,1,,,Equals,OpenOrder Designated time;Shift;ServiceAppointment;true,0hrDF000000KyjMYAS,RFCR-0001,Criteria,,Day,true
ServiceAppointment.FS_RepairDesignation__c;Equals;true;Criteria;Repair Designated Time;Shift;ServiceAppointment;true,ServiceAppointment.FS_RepairDesignation__c,,,0hKDF000000KyjQ2AS,1,,,Equals,Repair Designated Time;Shift;ServiceAppointment;true,0hrDF000000KyjQYAS,RFCR-0001,Criteria,,Day,true
ServiceAppointment.FS_OpenOrderDesignation__c;Equals;true;Criteria;OpenOrder Designated time For TimeSlots;TimeSlot;ServiceAppointment;true,ServiceAppointment.FS_OpenOrderDesignation__c,,,0hKDD0000004CB42AM,1,,,Equals,OpenOrder Designated time For TimeSlots;TimeSlot;ServiceAppointment;true,0hrDD0000004CBiYAM,RFCR-0001,Criteria,,Day,true
ServiceAppointment.FS_MaintenanceDesignation__c;Equals;true;Criteria;Maintenance Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,ServiceAppointment.FS_MaintenanceDesignation__c,,,0hKDD0000004CAu2AM,1,,,Equals,Maintenance Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,0hrDD0000004CBYYA2,RFCR-0001,Criteria,,Day,true
ServiceAppointment.FS_RepairDesignation__c;Equals;true;Criteria;Repair Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,ServiceAppointment.FS_RepairDesignation__c,,,0hKDD0000004CB92AM,1,,,Equals,Repair Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,0hrDD0000004CBnYAM,RFCR-0001,Criteria,,Day,true
ServiceAppointment.Enable_Overtime__c;Equals;true;Criteria;Service Request Designated Time;Shift;ServiceAppointment;true,ServiceAppointment.Enable_Overtime__c,,,0hKDD0000004CBx2AM,2,,,Equals,Service Request Designated Time;Shift;ServiceAppointment;true,0hrDD0000004CC7YAM,RFCR-0003,Criteria,,Day,true
ServiceAppointment.Enable_Overtime__c;Equals;true;Criteria;Service Request Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,ServiceAppointment.Enable_Overtime__c,,,0hKDD0000004CC22AM,2,,,Equals,Service Request Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,0hrDD0000004CBxYAM,RFCR-0002,Criteria,,Day,true
ServiceAppointment.FS_ServiceRequestDesignation__c;Equals;true;Criteria;Service Request Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,ServiceAppointment.FS_ServiceRequestDesignation__c,,,0hKDD0000004CBJ2A2,1,,,Equals,Service Request Designated Time For TimeSlots;TimeSlot;ServiceAppointment;true,0hrDD0000004CBxYAM,RFCR-0001,Criteria,,Day,true
ServiceAppointment.FS_ServiceRequestDesignation__c;Equals;true;Criteria;Service Request Designated Time;Shift;ServiceAppointment;true,ServiceAppointment.FS_ServiceRequestDesignation__c,,,0hKDD0000004CBT2A2,1,,,Equals,Service Request Designated Time;Shift;ServiceAppointment;true,0hrDD0000004CC7YAM,RFCR-0001,Criteria,,Day,true
