Id,Name,maps__MarkerLayer__c,maps__BaseObject__c,maps__CrossField__c,maps__CrossFilterLogic__c,maps__CrossObject__c,maps__Field__c,maps__GrandparentField__c,maps__Index__c,maps__MarkerLayerRelatedList__c,maps__Operator__c,maps__ParentField__c,maps__Parent__c,maps__Type__c,maps__Value2__c,maps__Value__c,$$maps__BaseObject__c$maps__MarkerLayer__r.Name$maps__Field__c$maps__Operator__c$maps__Value__c$maps__Type__c$maps__Value__c$maps__CrossObject__c,maps__MarkerLayer__r.$$Name$maps__BaseObject__r.Name$maps__Folder__r.Name,maps__MarkerLayerRelatedList__r.$$Name$maps__SavedQuery__r.Name,maps__Parent__r.$$maps__BaseObject__c$maps__MarkerLayer__r.Name$maps__Field__c$maps__Operator__c$maps__Value__c$maps__Type__c$maps__Value__c$maps__CrossObject__c
a2CDG0000023H7k2AE,SQC000031,a2EDG000001mjRU2AY,ServiceResource,,,,JobTitle__c,,0,,equals,,,Filter,,Repair Mechanic~~Service Mechanic,ServiceResource;Mechanic Location;JobTitle__c;equals;Repair Mechanic~~Service Mechanic;Filter;Repair Mechanic~~Service Mechanic,Mechanic Location;ServiceResource;Otis Layers,,
a2CDG0000023jGV2AY,SQC000044,a2EDG000001mjRA2AY,ServiceAppointment,,,,Status,,0,,equals,,,Filter,,Dispatched,ServiceAppointment;S1 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGW2AY,SQC000045,a2EDG000001mjRA2AY,ServiceAppointment,,,,Priority__c,,1,,equals,,,Filter,,S1 - Emergency,ServiceAppointment;S1 Dispatched Service Appointments;Priority__c;equals;S1 - Emergency;Filter;S1 - Emergency,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGX2AY,SQC000046,a2EDG000001mjRA2AY,AssignedResource,,,,,,0,a2DDG000002nmYz2AI,,,,Related List Filter,,,AssignedResource;S1 Dispatched Service Appointments;Related List Filter,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers,AssignedResource;S1 Dispatched Service Appointments,
a2CDG0000023jGa2AI,SQC000047,a2EDG000001mjRF2AY,ServiceAppointment,,,,Status,,0,,equals,,,Filter,,Dispatched,ServiceAppointment;S2 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGb2AI,SQC000048,a2EDG000001mjRF2AY,ServiceAppointment,,,,Priority__c,,1,,equals,,,Filter,,S2 - High,ServiceAppointment;S2 Dispatched Service Appointments;Priority__c;equals;S2 - High;Filter;S2 - High,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGc2AI,SQC000049,a2EDG000001mjRF2AY,AssignedResource,,,,,,0,a2DDG000002nmZ42AI,,,,Related List Filter,,,AssignedResource;S2 Dispatched Service Appointments;Related List Filter,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers,AssignedResource;S2 Dispatched Service Appointments,
a2CDG0000023jGf2AI,SQC000050,a2EDG000001mjRK2AY,ServiceAppointment,,,,Status,,0,,equals,,,Filter,,Dispatched,ServiceAppointment;S3 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGg2AI,SQC000051,a2EDG000001mjRK2AY,ServiceAppointment,,,,Priority__c,,1,,equals,,,Filter,,S3 - Normal,ServiceAppointment;S3 Dispatched Service Appointments;Priority__c;equals;S3 - Normal;Filter;S3 - Normal,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGh2AI,SQC000052,a2EDG000001mjRK2AY,AssignedResource,,,,,,0,a2DDG000002nmZ92AI,,,,Related List Filter,,,AssignedResource;S3 Dispatched Service Appointments;Related List Filter,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers,AssignedResource;S3 Dispatched Service Appointments,
a2CDG0000023jGk2AI,SQC000053,a2EDG000001mjRP2AY,ServiceAppointment,,,,Status,,0,,equals,,,Filter,,Dispatched,ServiceAppointment;S4 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,S4 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGl2AI,SQC000054,a2EDG000001mjRP2AY,ServiceAppointment,,,,Priority__c,,1,,equals,,,Filter,,S4 - Low,ServiceAppointment;S4 Dispatched Service Appointments;Priority__c;equals;S4 - Low;Filter;S4 - Low,S4 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,
a2CDG0000023jGm2AI,SQC000055,a2EDG000001mjRP2AY,AssignedResource,,,,,,0,a2DDG000002nmZE2AY,,,,Related List Filter,,,AssignedResource;S4 Dispatched Service Appointments;Related List Filter,S4 Dispatched Service Appointments;ServiceAppointment;Otis Layers,AssignedResource;S4 Dispatched Service Appointments,
a2CDG0000023jGp2AI,SQC000056,a2EDG000001mjRZ2AY,Location,,,Asset~~LocationId,Id,,0,,with,,,Cross Filter,,,Location;Buildings with Shutdown Units;Id;with;Cross Filter;Asset~~LocationId,Buildings with Shutdown Units;Location;Otis Layers,,
a2CDG0000023jGq2AI,SQC000057,a2EDG000001mjRZ2AY,Asset,,,,OperationalStatus__c,,0,,equals,,a2CDG0000023jGp2AI,Subfilter,,Shutdown,Asset;Buildings with Shutdown Units;OperationalStatus__c;equals;Shutdown;Subfilter;Shutdown,Buildings with Shutdown Units;Location;Otis Layers,,Location;Buildings with Shutdown Units;Id;with;Cross Filter;Asset~~LocationId
a2CDG0000023jGr2AI,SQC000058,a2EDG000001mjRZ2AY,Asset,,,,OperationalStatus__c,,0,a2DDG000002nmZJ2AY,equals,,,Related List Filter,,Shutdown,Asset;Buildings with Shutdown Units;OperationalStatus__c;equals;Shutdown;Related List Filter;Shutdown,Buildings with Shutdown Units;Location;Otis Layers,Asset;Buildings with Shutdown Units,
a2CDG0000023jGs2AI,SQC000059,a2EDG000001mjRZ2AY,WorkOrder,,,,,,0,a2DDG000002nmZK2AY,,,,Related List Filter,,,WorkOrder;Buildings with Shutdown Units;Related List Filter,Buildings with Shutdown Units;Location;Otis Layers,WorkOrder;Buildings with Shutdown Units,
